#U fC  << this is the unit 
#             eta             phi             dep             det     cap0     cap1     cap2     cap3 widthcap0 widthcap1 widthcap2 widthcap3      DetId
               -1               4               9      CASTOR_HAD 12.11728 12.93893 12.88820 12.16167  7.15695  6.93073  6.79167  6.77644   56000039
               -1               4              10      CASTOR_HAD 12.96594 12.54176 12.90029 12.56008  7.30840  7.29918  7.12207  7.07265   5600003A
               -1               4              11      CASTOR_HAD 11.18771 11.12959 11.90466 11.12352  7.97711  7.94849  7.65868  7.69173   5600003B
               -1               4              12      CASTOR_HAD 10.42844 10.61749 10.53298 10.25544  7.54491  7.50600  7.29008  7.35205   5600003C
               -1               4              13      CASTOR_HAD  9.42705  9.09172 10.53832  9.27702 10.52903 10.45560 10.44731 10.49760   5600003D
               -1               4              14      CASTOR_HAD  9.97034 10.20180 11.01244 10.41955  7.12769  7.21353  7.12966  6.92658   5600003E
               -1               5               1       CASTOR_EM 10.55465 10.73878 11.25410 10.87223  7.78596  7.78683  7.68479  7.48947   56000041
               -1               5               2       CASTOR_EM 10.16198  9.84475 10.31601 10.13246  8.17197  8.22211  8.20885  8.01413   56000042
               -1               5               3      CASTOR_HAD 11.36575 11.04239 11.55462 11.65665  7.81938  8.07401  8.03104  7.73569   56000043
               -1               5               4      CASTOR_HAD 10.98472 10.74796 10.89246 10.82094  7.11725  7.32253  7.31793  7.01970   56000044
               -1               5               5      CASTOR_HAD  9.85624 10.24561 11.67589  9.53634  8.32188  8.23840  8.03909  8.32847   56000045
               -1               5               6      CASTOR_HAD 10.33513 10.25972  9.43519 10.66665  9.86375  9.82946  9.85002  9.61102   56000046
               -1               5               7      CASTOR_HAD  9.98825 10.17073 11.24741 10.44144  9.09412  9.18857  9.06512  9.00741   56000047
               -1               5               8      CASTOR_HAD 10.40962 10.21517 10.19446 10.00784  8.75132  8.96727  8.92819  8.85384   56000048
               -1               5               9      CASTOR_HAD  9.67486 11.03783 11.01709 11.32799  8.54312  8.48664  8.45422  8.12549   56000049
               -1               5              10      CASTOR_HAD 11.34317 11.72157 11.56058 12.50899  6.87874  7.03874  7.02417  6.73724   5600004A
               -1               5              11      CASTOR_HAD 11.74599 11.41595 11.11947 11.39927  9.42976  9.59779  9.67372  9.41734   5600004B
               -1               5              12      CASTOR_HAD  9.83627 10.02498 10.34058 10.34198  7.79096  7.86707  7.84403  7.65283   5600004C
               -1               5              13      CASTOR_HAD 10.39515 10.79137 10.31346 11.03872  7.74721  7.67297  7.47736  7.39821   5600004D
